target,momentum_decile,si_decile,n,events,event_rate,momentum_row_n,momentum_row_event_rate,incremental_vs_momentum_row,incremental_lift_vs_momentum_row,overall_event_rate
down_7pct_5d,6,10,181,16,0.08839779005524862,2973,0.06458123107971746,0.023816558975531157,1.3687845303867403,0.08431223321531385
down_7pct_5d,7,1,351,18,0.05128205128205128,3021,0.06090698444223767,-0.009624933160186387,0.8419732441471572,0.08431223321531385
down_7pct_5d,7,2,540,25,0.046296296296296294,3021,0.06090698444223767,-0.014610688145941374,0.7601147342995169,0.08431223321531385
down_7pct_5d,7,3,332,15,0.045180722891566265,3021,0.06090698444223767,-0.015726261550671403,0.7417987166055526,0.08431223321531385
down_7pct_5d,7,4,274,10,0.0364963503649635,3021,0.06090698444223767,-0.024410634077274167,0.5992145350682323,0.08431223321531385
down_7pct_5d,7,5,244,19,0.0778688524590164,3021,0.06090698444223767,0.01696186801677873,1.2784880612972203,0.08431223321531385
down_7pct_5d,7,6,340,15,0.04411764705882353,3021,0.06090698444223767,-0.016789337383414135,0.7243446291560103,0.08431223321531385
down_7pct_5d,7,7,292,24,0.0821917808219178,3021,0.06090698444223767,0.021284796379680136,1.3494639666468136,0.08431223321531385
down_7pct_5d,7,8,208,17,0.08173076923076923,3021,0.06090698444223767,0.020823784788531564,1.3418948578595318,0.08431223321531385
down_7pct_5d,7,9,272,22,0.08088235294117647,3021,0.06090698444223767,0.019975368498938807,1.3279651534526855,0.08431223321531385
down_7pct_5d,7,10,168,19,0.1130952380952381,3021,0.06090698444223767,0.05218825365300043,1.8568517080745341,0.08431223321531385
down_7pct_5d,8,1,364,24,0.06593406593406594,3025,0.06413223140495868,0.0018018345291072602,1.0280956157244818,0.08431223321531385
down_7pct_5d,8,2,487,20,0.04106776180698152,3025,0.06413223140495868,-0.023064469597977158,0.6403607188975211,0.08431223321531385
down_7pct_5d,8,3,338,10,0.029585798816568046,3025,0.06413223140495868,-0.03454643258839063,0.4613249557738059,0.08431223321531385
down_7pct_5d,8,4,283,25,0.08833922261484099,3025,0.06413223140495868,0.024206991209882317,1.3774543732468763,0.08431223321531385
down_7pct_5d,8,5,226,19,0.084070796460177,3025,0.06413223140495868,0.01993856505521832,1.310897728309461,0.08431223321531385
down_7pct_5d,8,6,366,13,0.03551912568306011,3025,0.06413223140495868,-0.02861310572189857,0.5538420370683341,0.08431223321531385
down_7pct_5d,8,7,315,34,0.10793650793650794,3025,0.06413223140495868,0.043804276531549266,1.683030600556374,0.08431223321531385
down_7pct_5d,8,8,225,13,0.057777777777777775,3025,0.06413223140495868,-0.0063544536271809005,0.9009163802978236,0.08431223321531385
down_7pct_5d,8,9,259,17,0.06563706563706563,3025,0.06413223140495868,0.0015048342321069552,1.0234645543923895,0.08431223321531385
down_7pct_5d,8,10,162,19,0.11728395061728394,3025,0.06413223140495868,0.05315171921232527,1.8287832506045565,0.08431223321531385
down_7pct_5d,9,1,366,33,0.09016393442622951,3007,0.08713002993016296,0.003033904496066553,1.0348204229758478,0.08431223321531385
