window,evaluation,target,momentum_tail,si_tail,momentum_n,momentum_events,momentum_event_rate,momentum_plus_si_n,momentum_plus_si_events,momentum_plus_si_event_rate,incremental_event_rate_difference,incremental_event_rate_lift
window_1,test,down_5pct_5d,0.2,0.025,6187,1178,0.1903992241797317,152,44,0.2894736842105263,0.09907446003079462,1.5203511750513805
window_1,test,down_5pct_5d,0.1,0.2,3175,726,0.22866141732283465,127,37,0.29133858267716534,0.06267716535433068,1.2741046831955922
window_1,test,down_5pct_5d,0.1,0.1,3175,726,0.22866141732283465,127,37,0.29133858267716534,0.06267716535433068,1.2741046831955922
window_1,test,down_5pct_5d,0.1,0.05,3175,726,0.22866141732283465,123,37,0.3008130081300813,0.07215159080724667,1.3155389818360994
window_1,test,down_5pct_5d,0.1,0.025,3175,726,0.22866141732283465,98,30,0.30612244897959184,0.07746103165675719,1.3387586439534491
window_1,test,down_5pct_5d,0.05,0.2,1635,431,0.2636085626911315,75,25,0.3333333333333333,0.06972477064220184,1.2645011600928076
window_1,test,down_5pct_5d,0.05,0.1,1635,431,0.2636085626911315,75,25,0.3333333333333333,0.06972477064220184,1.2645011600928076
window_1,test,down_5pct_5d,0.05,0.05,1635,431,0.2636085626911315,72,25,0.3472222222222222,0.08361365953109073,1.3171887084300078
window_1,test,down_5pct_5d,0.05,0.025,1635,431,0.2636085626911315,55,19,0.34545454545454546,0.08184598276341398,1.3104830204598188
window_1,test,down_5pct_5d,0.025,0.2,894,254,0.2841163310961969,43,18,0.4186046511627907,0.13448832006659384,1.4733565281084051
window_1,test,down_5pct_5d,0.025,0.1,894,254,0.2841163310961969,43,18,0.4186046511627907,0.13448832006659384,1.4733565281084051
window_1,test,down_5pct_5d,0.025,0.05,894,254,0.2841163310961969,40,18,0.45,0.16588366890380313,1.5838582677165354
window_1,test,down_5pct_5d,0.025,0.025,894,254,0.2841163310961969,30,14,0.4666666666666667,0.1825503355704698,1.64251968503937
window_1,validation,down_7pct_5d,0.2,0.2,5798,688,0.11866160745084511,228,37,0.16228070175438597,0.043619094303540856,1.367592309261526
window_1,validation,down_7pct_5d,0.2,0.1,5798,688,0.11866160745084511,228,37,0.16228070175438597,0.043619094303540856,1.367592309261526
window_1,validation,down_7pct_5d,0.2,0.05,5798,688,0.11866160745084511,226,37,0.16371681415929204,0.04505520670844693,1.3796948960691502
window_1,validation,down_7pct_5d,0.2,0.025,5798,688,0.11866160745084511,184,29,0.15760869565217392,0.038947088201328806,1.3282197927199193
window_1,validation,down_7pct_5d,0.1,0.2,2971,460,0.15483002356109055,140,33,0.2357142857142857,0.08088426215319516,1.5224068322981366
window_1,validation,down_7pct_5d,0.1,0.1,2971,460,0.15483002356109055,140,33,0.2357142857142857,0.08088426215319516,1.5224068322981366
window_1,validation,down_7pct_5d,0.1,0.05,2971,460,0.15483002356109055,139,33,0.23741007194244604,0.08258004838135549,1.533359399436972
window_1,validation,down_7pct_5d,0.1,0.025,2971,460,0.15483002356109055,109,26,0.23853211009174313,0.08370208653065259,1.5406063023534105
window_1,validation,down_7pct_5d,0.05,0.2,1542,300,0.19455252918287938,81,25,0.30864197530864196,0.11408944612576258,1.5864197530864197
window_1,validation,down_7pct_5d,0.05,0.1,1542,300,0.19455252918287938,81,25,0.30864197530864196,0.11408944612576258,1.5864197530864197
window_1,validation,down_7pct_5d,0.05,0.05,1542,300,0.19455252918287938,80,25,0.3125,0.11794747081712062,1.60625
window_1,validation,down_7pct_5d,0.05,0.025,1542,300,0.19455252918287938,58,19,0.3275862068965517,0.13303367771367233,1.6837931034482758
window_1,validation,down_7pct_5d,0.025,0.2,771,195,0.2529182879377432,50,20,0.4,0.14708171206225684,1.5815384615384618
